,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2017-04-24,22,923,131,169,591,3481,0,0
2017-04-24,23,923,136,168,577,3421,0,0
2017-04-24,24,924,139,164,512,3392,0,0
2017-04-25,1,924,136,155,481,2973,0,0
2017-04-25,2,919,136,158,471,3500,0,0
2017-04-25,3,869,137,165,465,3396,0,0
2017-04-25,4,872,136,166,449,3304,0,0
2017-04-25,5,872,135,166,538,3277,0,0
2017-04-25,6,872,134,174,561,3127,0,0
2017-04-25,7,872,133,174,589,2949,375,0
2017-04-25,8,872,135,172,585,3039,2511,0
2017-04-25,9,871,136,172,548,3489,4993,17
2017-04-25,10,870,136,171,535,3454,6578,109
2017-04-25,11,869,139,172,466,3123,7974,133
2017-04-25,12,868,136,171,467,3209,7723,148
2017-04-25,13,867,135,172,430,3357,7938,172
2017-04-25,14,861,137,173,447,3625,7704,211
2017-04-25,15,854,133,174,455,3720,7505,239
2017-04-25,16,865,141,173,436,4073,7040,171
2017-04-25,17,865,145,176,500,4139,6206,186
2017-04-25,18,865,145,175,540,3824,4308,144
2017-04-25,19,866,146,175,589,3822,1765,51
2017-04-25,20,866,146,177,589,3678,78,0
2017-04-25,21,868,143,174,588,4019,0,0
2017-04-25,22,868,145,173,589,4044,0,0
2017-04-25,23,869,144,165,544,3470,0,0
2017-04-25,24,869,144,161,538,3230,0,0
2017-04-26,1,868,145,166,482,3181,0,0
2017-04-26,2,867,145,167,449,3103,0,0
2017-04-26,3,867,143,167,439,3147,0,0
2017-04-26,4,866,143,168,440,3400,0,0
2017-04-26,5,866,146,168,539,3704,0,0
2017-04-26,6,867,145,177,559,3825,0,0
2017-04-26,7,867,144,174,559,3157,442,0
2017-04-26,8,867,147,154,550,2629,2763,35
2017-04-26,9,864,151,142,545,2231,5106,190
2017-04-26,10,862,150,142,492,2242,6442,280
2017-04-26,11,859,152,142,437,2506,7908,333
2017-04-26,12,858,152,143,424,2531,8277,335
2017-04-26,13,856,154,143,433,2651,8213,271
2017-04-26,14,857,156,147,436,3109,7775,184
2017-04-26,15,856,155,150,474,3412,7870,138
2017-04-26,16,857,153,152,492,3776,6500,7
2017-04-26,17,859,154,148,545,3688,5086,17
2017-04-26,18,861,154,149,559,3597,4004,59
2017-04-26,19,866,152,148,618,3503,1327,24
2017-04-26,20,868,151,140,625,3416,34,0
2017-04-26,21,902,145,143,608,3547,0,0
2017-04-26,22,904,142,141,607,3294,0,0
2017-04-26,23,904,145,140,559,3305,0,0
2017-04-26,24,904,143,140,553,3112,0,0
2017-04-27,1,921,142,140,511,2555,0,0
2017-04-27,2,929,144,139,516,3139,0,0
2017-04-27,3,930,144,141,441,3320,0,0
2017-04-27,4,931,146,141,476,3396,0,0
2017-04-27,5,932,146,142,557,3330,0,0
2017-04-27,6,932,147,152,577,3366,0,0
2017-04-27,7,933,143,152,611,3074,341,0
2017-04-27,8,932,144,149,628,2696,2741,69
2017-04-27,9,931,149,146,605,2852,5563,216
2017-04-27,10,930,149,146,514,2723,7332,266
2017-04-27,11,930,153,147,464,2654,8484,315
2017-04-27,12,929,154,148,422,2635,8419,246
2017-04-27,13,927,153,149,423,2684,8455,256
2017-04-27,14,925,155,152,426,2976,8333,196
2017-04-27,15,924,155,154,424,3089,7666,74
2017-04-27,16,923,155,154,430,2887,7761,133
2017-04-27,17,923,156,153,558,3203,6401,196
2017-04-27,18,924,151,152,575,3085,4559,199
2017-04-27,19,926,153,151,622,2977,1854,37
2017-04-27,20,927,150,151,623,3266,210,0
2017-04-27,21,928,145,150,619,3281,58,0
2017-04-27,22,929,142,149,597,3092,0,0
2017-04-27,23,929,144,146,551,2885,0,0
2017-04-27,24,931,144,142,545,2751,0,0
2017-04-28,1,931,141,143,544,2425,0,0
2017-04-28,2,932,143,143,533,2379,0,0
2017-04-28,3,933,145,143,530,2178,0,0
2017-04-28,4,933,146,142,532,2129,0,0
2017-04-28,5,933,147,142,534,2067,0,0
2017-04-28,6,933,145,148,548,2094,0,0
2017-04-28,7,933,144,149,565,2038,422,0
2017-04-28,8,933,144,148,547,1926,3321,28
2017-04-28,9,935,143,150,527,2175,6257,144
2017-04-28,10,933,144,152,484,2315,7632,350
2017-04-28,11,932,138,160,440,2543,8209,406
2017-04-28,12,931,131,163,427,2741,8337,427
2017-04-28,13,931,131,164,443,2993,8593,430
2017-04-28,14,929,130,162,447,3204,8655,413
2017-04-28,15,866,127,164,435,3295,8784,411
2017-04-28,16,912,127,164,473,3202,8494,383
2017-04-28,17,929,128,163,528,3496,7979,352
2017-04-28,18,913,135,163,580,3582,6074,292
2017-04-28,19,865,135,156,612,3386,2652,140
2017-04-28,20,866,139,155,611,3326,201,0
2017-04-28,21,867,137,153,598,3063,0,0
2017-04-28,22,868,138,149,597,2238,0,0
2017-04-28,23,868,134,140,577,1779,0,0
2017-04-28,24,868,135,138,571,1712,0,0
2017-04-29,1,868,134,138,497,1244,0,0
2017-04-29,2,869,135,139,489,1240,0,0
2017-04-29,3,869,135,140,486,1176,0,0
2017-04-29,4,869,136,140,492,1150,0,0
2017-04-29,5,869,137,140,567,1098,0,0
2017-04-29,6,868,137,139,578,983,0,0
2017-04-29,7,868,138,138,578,1127,756,0
2017-04-29,8,867,148,139,574,1522,4326,68
2017-04-29,9,866,157,140,559,1799,7416,272
2017-04-29,10,866,160,141,437,2082,8658,339
2017-04-29,11,865,162,140,438,2051,9219,354
2017-04-29,12,864,163,140,483,1785,9363,361
2017-04-29,13,862,162,141,475,1521,9373,360
2017-04-29,14,862,162,141,478,1114,9362,354
2017-04-29,15,861,165,140,484,689,9316,354
2017-04-29,16,859,178,141,498,324,9038,352
2017-04-29,17,858,182,141,511,208,8298,333
2017-04-29,18,858,181,140,574,176,6687,290
2017-04-29,19,874,181,141,586,314,2987,151
2017-04-29,20,923,181,141,623,851,257,0
2017-04-29,21,925,179,140,624,1028,0,0
2017-04-29,22,920,179,140,590,1011,0,0
2017-04-29,23,930,178,140,580,967,0,0
2017-04-29,24,930,180,140,576,1035,0,0
2017-04-30,1,930,180,140,506,1069,0,0
2017-04-30,2,931,181,140,499,1155,0,0
2017-04-30,3,931,181,141,498,1180,0,0
2017-04-30,4,932,181,141,500,1147,0,0
2017-04-30,5,931,182,141,565,708,0,0
2017-04-30,6,931,181,141,575,461,0,0
2017-04-30,7,932,180,139,570,297,792,0
2017-04-30,8,920,181,139,566,770,3935,67
2017-04-30,9,918,181,140,505,156,6683,255
2017-04-30,10,927,181,141,428,49,7399,356
2017-04-30,11,925,180,141,426,55,8285,382
2017-04-30,12,922,190,140,454,26,8993,391
2017-04-30,13,919,197,138,466,33,9183,394
2017-04-30,14,917,196,138,474,78,9238,393
2017-04-30,15,915,203,145,477,350,9194,384
2017-04-30,16,915,218,147,469,1169,8778,374
2017-04-30,17,915,221,140,497,2213,8086,350
2017-04-30,18,916,223,139,558,2425,6600,298
2017-04-30,19,914,224,146,573,2729,2949,150
2017-04-30,20,917,225,149,611,3020,257,0
2017-04-30,21,920,224,150,612,3120,0,0
2017-04-30,22,920,223,154,575,3269,0,0
2017-04-30,23,917,223,154,559,3320,0,0
2017-04-30,24,918,223,155,557,3213,0,0
