Country,Unique Owners,Unique Properties,Total Property Values,"GDP (current USD, 2018 or latest available - for coverage)",Total Property Value / GDP,Mean Property value,Median Property Value,Number of firms,Mean Age,Number with age variable,Born 1985 or later (34 or younger),Born 1959 or earlier (60 or older),Middle age (35 to 59),Female share,Number of females,Number with gender variable,Properties in Dubai Marina,Properties in Palm Jumeirah,Number of villas,Number of buildings,Share of total values owned by top 10% owners,Share of total values owned by top 10% persons,Share of total values owned by top 10% firms,Share of total values owned by top 1% owners,Share of total values owned by top 1% persons,Share of total values owned by top 1% firms
Sri Lanka,408,590,"USD 205,468,830",8.80E+10,0.23%,"USD 348,252","USD 219,445",0,49,408,40,63,305,34%,138,408,23,4.9998,126,4.9998,51%,51%,NaN,19%,19%,NaN
Sudan,1866,3130,"USD 941,521,903",3.10E+10,3.04%,"USD 300,806","USD 183,245",0,51.6,1862,179,535,1148,28%,523,1865,99,16,291,4.9998,51%,51%,NaN,19%,19%,NaN
Sweden,852,1439,"USD 628,300,486",5.56E+11,0.11%,"USD 436,623","USD 222,236",4.9998,50.4,817,81,169,567,33%,284,850,196,62,186,4.9998,59%,58%,1%,30%,30%,1%
Switzerland,682,1049,"USD 518,819,921",7.36E+11,0.07%,"USD 494,585","USD 330,630",43,53.6,611,35,165,411,38%,260,680,176,65,132,4.9998,42%,32%,5%,8%,7%,1%
Syria,4484,9573,"USD 2,976,197,188",4.04E+10,7.37%,"USD 310,895","USD 167,268",0,47.7,4470,560,659,3251,29%,1292,4475,592,72,642,27,61%,60%,1%,32%,32%,1%
Taiwan,31,74,"USD 46,710,702",5.90E+11,0.01%,"USD 631,226","USD 545,746",4.9998,44.4,28,6,4.9998,21,58%,18,31,5,26,4.9998,0,80%,7%,58%,58%,3%,58%
Tajikistan,110,342,"USD 122,053,250",7.77E+09,1.57%,"USD 356,881","USD 138,098",0,43.6,110,32,7,71,37%,41,110,40,12,14,4.9998,69%,69%,NaN,34%,34%,NaN
Tanzania,407,805,"USD 237,117,227",5.70E+10,0.42%,"USD 294,556","USD 186,251",0,51.9,406,42,100,264,31%,125,406,47,7,84,0,51%,51%,NaN,14%,14%,NaN
Thailand,89,252,"USD 130,243,044",5.07E+11,0.03%,"USD 516,837","USD 443,851",4.9998,46.4,87,6,9,72,62%,55,89,10,4.9998,36,4.9998,77%,24%,54%,54%,5%,54%
Togo,4.9998,5,"USD 569,992",7.11E+09,0.01%,"USD 113,998","USD 111,946",0,56.8,4.9998,0,4.9998,4.9998,,4.9998,4.9998,4.9998,0,0,0,50%,50%,NaN,50%,50%,NaN
Trinidad & Tobago,14,15,"USD 5,524,217",2.37E+10,0.02%,"USD 368,281","USD 238,159",0,46.2,13,4.9998,0,12,50%,7,14,0,0,4.9998,0,31%,31%,NaN,18%,18%,NaN
Tunisia,431,655,"USD 224,459,515",4.26E+10,0.53%,"USD 342,686","USD 220,263",0,47.2,429,35,53,341,39%,168,430,70,16,90,4.9998,44%,44%,NaN,12%,12%,NaN
Turkey,974,1589,"USD 720,250,167",7.79E+11,0.09%,"USD 453,273","USD 262,428",4.9998,45,944,121,52,771,31%,300,974,170,77,248,4.9998,53%,53%,0%,21%,21%,0%
Turkmenistan,215,361,"USD 124,595,200",4.08E+10,0.31%,"USD 345,139","USD 258,081",0,43.7,213,38,10,165,32%,68,214,76,11,14,0,41%,41%,NaN,10%,10%,NaN
Turks And Caicos Islands,4.9998,5,"USD 2,993,694",1.11E+09,0.27%,"USD 598,739","USD 649,319",4.9998,,0,0,0,0,,4.9998,4.9998,4.9998,0,0,0,100%,NaN,100%,100%,NaN,100%
USA,5085,8808,"USD 3,020,718,453",2.06E+13,0.01%,"USD 342,952","USD 209,824",15,52.6,4925,425,1295,3205,37%,1869,5063,995,253,968,8,49%,46%,2%,16%,14%,2%
Uganda,63,141,"USD 37,455,516",3.29E+10,0.11%,"USD 265,642","USD 162,622",0,52.1,61,5,20,36,33%,21,63,17,4.9998,5,0,56%,56%,NaN,17%,17%,NaN
Ukraine,621,961,"USD 323,839,242",1.31E+11,0.25%,"USD 336,982","USD 203,528",4.9998,44.9,617,131,46,440,53%,332,621,167,67,64,0,51%,50%,0%,17%,17%,0%
United Arab Emirates,63438,427538,"USD 287,245,899,176",4.22E+11,68.04%,"USD 671,861","USD 211,542",1966,49.9,58069,9348,12934,35787,41%,26009,63224,9927,5733,14301,2495,85%,19%,62%,73%,10%,37%
United Kingdom,23136,40129,"USD 14,673,449,357",2.90E+12,0.51%,"USD 365,657","USD 197,763",132,52,22052,1503,5238,15311,39%,8948,23065,4168,1781,5044,38,55%,52%,3%,24%,22%,2%
Unknown Background (Firm),5438,61289,"USD 92,315,584,119",,,"USD 1,506,234","USD 285,122",5335,,0,0,0,0,100%,5335,5335,2630,1175,3321,894,94%,NaN,94%,73%,NaN,73%
Unknown Background (Person),14403,19965,"USD 6,829,582,825",,,"USD 342,078","USD 190,274",0,53.2,4631,208,1244,3179,75%,10662,14190,1378,439,867,27,59%,59%,NaN,32%,32%,NaN
Uruguay,11,18,"USD 4,375,482",6.45E+10,0.01%,"USD 243,082","USD 246,412",0,41.5,11,4.9998,0,8,82%,9,11,10,0,4.9998,0,64%,64%,NaN,34%,34%,NaN
Uzbekistan,472,780,"USD 306,814,520",5.26E+10,0.58%,"USD 393,352","USD 243,717",4.9998,42.9,466,100,37,329,46%,218,469,92,53,63,0,51%,51%,0%,16%,16%,0%
Vanuatu,4.9998,4.9998,"USD 910,394",9.15E+08,0.10%,NaN,NaN,0,49,4.9998,0,0,4.9998,,0,4.9998,0,0,0,0,100%,100%,NaN,100%,100%,NaN
Venezuela,77,104,"USD 45,244,832",4.82E+11,0.01%,"USD 435,046","USD 267,746",0,45.4,77,8,4.9998,65,29%,22,77,9,0,14,0,45%,45%,NaN,9%,9%,NaN
Vietnam,22,25,"USD 7,910,712",2.45E+11,0.00%,"USD 316,429","USD 320,063",0,42.7,22,4.9998,4.9998,18,68%,15,22,7,4.9998,4.9998,0,31%,31%,NaN,13%,13%,NaN
Yemen,965,3630,"USD 1,043,509,028",2.16E+10,4.83%,"USD 287,468","USD 162,415",0,49.4,962,124,202,636,25%,243,965,133,45,259,12,67%,67%,NaN,34%,34%,NaN
Zambia,65,95,"USD 19,746,787",2.63E+10,0.08%,"USD 207,861","USD 168,948",0,52.4,65,4.9998,14,49,29%,19,65,4.9998,0,5,0,39%,39%,NaN,12%,12%,NaN
Zimbabwe,83,127,"USD 38,475,874",1.81E+10,0.21%,"USD 302,960","USD 162,415",0,48.6,83,5,10,68,24%,20,83,5,4.9998,19,0,45%,45%,NaN,9%,9%,NaN
